year,WYOMING FEMALE/Predictions
1994,169
1996,179
1998,171
2000,175
2002,191
2004,186
2006,196
2008,198
2010,202
2012,213
2014,217
2016,213
2018,214
2020,219
2022,226
2024,230
2026,234
2028,239
2030,243
