year,MISSOURI TOTAL/Predictions
1994,3797
1996,3925
1998,3967
2000,4066
2002,4143
2004,4243
2006,4388
2008,4430
2010,4506
2012,4521
2014,4505
2016,4626
2018,4676
2020,4637
2022,4825
2024,4893
2026,4961
2028,5029
2030,5097
