year,MISSOURI BLACK/Predictions
1994,394
1996,361
1998,3575
2000,449
2002,455
2004,433
2006,454
2008,457
2010,484
2012,484
2014,485
2016,491
2018,504
2020,518
2022,285
2024,233
2026,180
2028,127
2030,74
