year,MICHIGAN MALE/Predictions
1994,3317
1996,3370
1998,3491
2000,3517
2002,3697
2004,3604
2006,3580
2008,3609
2010,3606
2012,3601
2014,3615
2016,3650
2018,3688
2020,3795
2022,3769
2024,3794
2026,3819
2028,3844
2030,3869
