year,TENNESSEE MALE/Predictions
1994,1810
1996,1948
1998,1940
2000,2036
2002,2047
2004,2118
2006,2199
2008,2220
2010,2278
2012,2300
2014,2366
2016,2418
2018,2501
2020,2544
2022,2590
2024,2643
2026,2695
2028,2748
2030,2801
