year,ARIZONA WHITE/Predictions
1994,2730
1996,2868
1998,818
2000,3205
2002,3473
2004,3747
2006,3987
2008,4163
2010,4267
2012,4130
2014,4226
2016,4471
2018,4635
2020,4840
2022,5197
2024,5399
2026,5601
2028,5803
2030,6005
