year,WASHINGTON HISPANIC ORIGIN/Predictions
1994,71
1996,167
1998,81
2000,167
2002,244
2004,248
2006,295
2008,404
2010,461
2012,460
2014,635
2016,656
2018,736
2020,680
2022,782
2024,835
2026,889
2028,943
2030,997
