year,OKLAHOMA WHITE/Predictions
1994,1963
1996,1937
1998,74
2000,2169
2002,2018
2004,2031
2006,2064
2008,2080
2010,2015
2012,2072
2014,2262
2016,2289
2018,2254
2020,2289
2022,2436
2024,2498
2026,2561
2028,2624
2030,2687
