year,SOUTH CAROLINA HISPANIC ORIGIN/Predictions
1994,16
1996,18
1998,741
2000,62
2002,107
2004,52
2006,151
2008,111
2010,112
2012,114
2014,171
2016,175
2018,207
2020,257
2022,181
2024,183
2026,185
2028,188
2030,190
