year,TENNESSEE TOTAL/Predictions
1994,3856
1996,4014
1998,4080
2000,4173
2002,4284
2004,4402
2006,4571
2008,4692
2010,4745
2012,4849
2014,4975
2016,5057
2018,5202
2020,5283
2022,5408
2024,5518
2026,5628
2028,5738
2030,5848
