year,RHODE ISLAND BLACK/Predictions
1994,27
1996,38
1998,682
2000,38
2002,51
2004,46
2006,40
2008,48
2010,45
2012,50
2014,55
2016,63
2018,53
2020,61
2022,12
2024,2
2026,-8
2028,-19
2030,-29
