year,NEBRASKA WHITE/Predictions
1994,1089
1996,1118
1998,47
2000,1133
2002,1171
2004,1181
2006,1183
2008,1210
2010,1216
2012,1265
2014,1295
2016,1253
2018,1277
2020,1301
2022,1405
2024,1443
2026,1481
2028,1518
2030,1556
