year,OHIO WHITE/Predictions
1994,7343
1996,7210
1998,98
2000,7250
2002,7456
2004,7381
2006,7351
2008,7330
2010,7474
2012,7473
2014,7404
2016,7340
2018,7372
2020,7416
2022,7992
2024,8145
2026,8297
2028,8449
2030,8602
