year,DISTRICT OF COLUMBIA FEMALE/Predictions
1994,236
1996,212
1998,220
2000,216
2002,242
2004,236
2006,226
2008,254
2010,266
2012,277
2014,289
2016,299
2018,304
2020,312
2022,314
2024,322
2026,329
2028,337
2030,345
