year,VERMONT FEMALE/Predictions
1994,221
1996,220
1998,225
2000,238
2002,255
2004,249
2006,252
2008,249
2010,252
2012,255
2014,253
2016,254
2018,257
2020,257
2022,266
2024,268
2026,271
2028,274
2030,277
