year,PENNSYLVANIA HISPANIC ORIGIN/Predictions
1994,191
1996,171
1998,784
2000,248
2002,309
2004,255
2006,312
2008,361
2010,390
2012,501
2014,689
2016,544
2018,657
2020,618
2022,648
2024,678
2026,707
2028,736
2030,765
