year,COLORADO BLACK/Predictions
1994,143
1996,85
1998,2722
2000,116
2002,119
2004,123
2006,128
2008,150
2010,148
2012,140
2014,147
2016,185
2018,185
2020,186
2022,-15
2024,-60
2026,-106
2028,-152
2030,-197
