year,ALASKA HISPANIC ORIGIN/Predictions
1994,11
1996,9
1998,11
2000,12
2002,20
2004,22
2006,14
2008,15
2010,23
2012,23
2014,28
2016,24
2018,20
2020,28
2022,28
2024,29
2026,30
2028,32
2030,33
