year,WYOMING TOTAL/Predictions
1994,333
1996,347
1998,346
2000,350
2002,370
2004,373
2006,388
2008,397
2010,411
2012,427
2014,441
2016,436
2018,430
2020,436
2022,459
2024,468
2026,477
2028,486
2030,495
