year,MONTANA MALE/Predictions
1994,303
1996,326
1998,322
2000,329
2002,340
2004,339
2006,365
2008,358
2010,371
2012,379
2014,392
2016,399
2018,405
2020,415
2022,421
2024,430
2026,438
2028,446
2030,454
