year,VIRGINIA FEMALE/Predictions
1994,2526
1996,2652
1998,2624
2000,2745
2002,2705
2004,2826
2006,2955
2008,2995
2010,3061
2012,3204
2014,3246
2016,3317
2018,3335
2020,3396
2022,3494
2024,3564
2026,3634
2028,3704
2030,3774
