year,MAINE BLACK/Predictions
1994,1
1996,1
1998,922
2000,6
2002,7
2004,8
2006,5
2008,10
2010,13
2012,8
2014,9
2016,13
2018,17
2020,13
2022,-54
2024,-71
2026,-89
2028,-106
2030,-123
