year,MARYLAND WHITE/Predictions
1994,2659
1996,2758
1998,131
2000,2549
2002,2617
2004,2737
2006,2795
2008,2762
2010,2760
2012,2837
2014,2752
2016,2784
2018,2800
2020,2757
2022,3014
2024,3076
2026,3138
2028,3199
2030,3261
