year,NEW YORK MALE/Predictions
1994,6379
1996,6191
1998,6487
2000,6613
2002,6688
2004,6865
2006,6832
2008,6999
2010,7136
2012,7151
2014,7294
2016,7389
2018,7364
2020,7164
2022,7544
2024,7630
2026,7716
2028,7803
2030,7889
