year,ALASKA MALE/Predictions
1994,191
1996,200
1998,208
2000,202
2002,220
2004,224
2006,237
2008,246
2010,252
2012,261
2014,264
2016,267
2018,265
2020,269
2022,285
2024,292
2026,298
2028,305
2030,311
