year,INDIANA BLACK/Predictions
1994,306
1996,317
1998,3983
2000,286
2002,341
2004,368
2006,378
2008,370
2010,371
2012,385
2014,395
2016,473
2018,484
2020,473
2022,199
2024,140
2026,82
2028,24
2030,-34
