year,NORTH DAKOTA HISPANIC ORIGIN/Predictions
1994,2
1996,3
1998,0
2000,3
2002,6
2004,6
2006,6
2008,6
2010,3
2012,16
2014,19
2016,9
2018,16
2020,16
2022,17
2024,18
2026,19
2028,20
2030,22
