year,ILLINOIS MALE/Predictions
1994,4076
1996,4164
1998,4187
2000,4207
2002,4468
2004,4469
2006,4570
2008,4623
2010,4661
2012,4638
2014,4714
2016,4692
2018,4711
2020,4671
2022,4873
2024,4925
2026,4976
2028,5027
2030,5078
