year,MISSOURI FEMALE/Predictions
1994,1933
1996,2070
1998,2110
2000,2165
2002,2235
2004,2219
2006,2262
2008,2309
2010,2342
2012,2352
2014,2333
2016,2395
2018,2433
2020,2432
2022,2507
2024,2540
2026,2574
2028,2607
2030,2641
