year,MISSOURI HISPANIC ORIGIN/Predictions
1994,41
1996,75
1998,339
2000,38
2002,58
2004,115
2006,135
2008,98
2010,140
2012,140
2014,88
2016,160
2018,176
2020,232
2022,176
2024,183
2026,189
2028,195
2030,201
