year,NEW MEXICO BLACK/Predictions
1994,13
1996,14
1998,1099
2000,36
2002,38
2004,34
2006,36
2008,32
2010,44
2012,43
2014,40
2016,42
2018,30
2020,34
2022,-38
2024,-58
2026,-77
2028,-97
2030,-117
