year,MISSISSIPPI TOTAL/Predictions
1994,1863
1996,1942
1998,1975
2000,2029
2002,2014
2004,2081
2006,2083
2008,2109
2010,2113
2012,2166
2014,2182
2016,2203
2018,2194
2020,2212
2022,2269
2024,2294
2026,2319
2028,2344
2030,2369
