year,WASHINGTON MALE/Predictions
1994,1904
1996,2001
1998,2076
2000,2053
2002,2184
2004,2214
2006,2313
2008,2418
2010,2501
2012,2546
2014,2616
2016,2765
2018,2869
2020,2947
2022,2980
2024,3059
2026,3138
2028,3217
2030,3296
