year,ARIZONA BLACK/Predictions
1994,74
1996,113
1998,3090
2000,114
2002,102
2004,142
2006,155
2008,185
2010,193
2012,211
2014,215
2016,252
2018,257
2020,279
2022,57
2024,13
2026,-30
2028,-73
2030,-117
