year,OKLAHOMA MALE/Predictions
1994,1078
1996,1064
1998,1177
2000,1155
2002,1216
2004,1247
2006,1253
2008,1280
2010,1295
2012,1358
2014,1394
2016,1417
2018,1388
2020,1434
2022,1481
2024,1509
2026,1537
2028,1566
2030,1594
