year,DISTRICT OF COLUMBIA BLACK/Predictions
1994,266
1996,273
1998,132
2000,258
2002,253
2004,240
2006,217
2008,242
2010,244
2012,244
2014,248
2016,250
2018,251
2020,251
2022,249
2024,250
2026,252
2028,253
2030,254
