year,MONTANA WHITE/Predictions
1994,591
1996,607
1998,8
2000,620
2002,643
2004,647
2006,684
2008,683
2010,678
2012,698
2014,728
2016,738
2018,769
2020,772
2022,828
2024,854
2026,880
2028,906
2030,932
