year,SOUTH CAROLINA MALE/Predictions
1994,1261
1996,1269
1998,1328
2000,1355
2002,1410
2004,1441
2006,1521
2008,1564
2010,1635
2012,1660
2014,1730
2016,1774
2018,1849
2020,1887
2022,1928
2024,1979
2026,2029
2028,2080
2030,2130
