year,NEBRASKA MALE/Predictions
1994,560
1996,559
1998,575
2000,579
2002,623
2004,628
2006,638
2008,640
2010,643
2012,677
2014,688
2016,696
2018,710
2020,708
2022,732
2024,744
2026,757
2028,770
2030,782
