year,TEXAS TOTAL/Predictions
1994,13134
1996,13431
1998,14080
2000,14533
2002,14996
2004,15813
2006,16512
2008,17295
2010,17847
2012,18642
2014,19354
2016,20172
2018,21064
2020,21485
2022,22073
2024,22746
2026,23419
2028,24092
2030,24765
