year,UNITED STATES FEMALE/Predictions
1994,99260
1996,101020
1998,103042
2000,105523
2002,109481
2004,111882
2006,114073
2008,116525
2010,118592
2012,122005
2014,124237
2016,127013
2018,129176
2020,130404
2022,134058
2024,136578
2026,139097
2028,141617
2030,144137
