year,SOUTH CAROLINA BLACK/Predictions
1994,882
1996,677
1998,2056
2000,662
2002,714
2004,837
2006,858
2008,854
2010,898
2012,919
2014,965
2016,975
2018,1000
2020,1032
2022,937
2024,935
2026,933
2028,931
2030,929
