year,COLORADO TOTAL/Predictions
1994,2703
1996,2859
1998,2954
2000,3049
2002,3246
2004,3398
2006,3464
2008,3694
2010,3768
2012,3817
2014,4009
2016,4242
2018,4353
2020,4525
2022,4609
2024,4747
2026,4884
2028,5022
2030,5160
