year,NEW JERSEY FEMALE/Predictions
1994,3101
1996,3079
1998,3182
2000,3190
2002,3417
2004,3361
2006,3374
2008,3365
2010,3412
2012,3514
2014,3543
2016,3580
2018,3660
2020,3520
2022,3683
2024,3724
2026,3765
2028,3805
2030,3846
