year,MARYLAND MALE/Predictions
1994,1715
1996,1821
1998,1842
2000,1838
2002,1805
2004,1906
2006,1965
2008,1984
2010,2039
2012,2101
2014,2135
2016,2203
2018,2217
2020,2199
2022,2278
2024,2317
2026,2356
2028,2396
2030,2435
