year,MISSOURI MALE/Predictions
1994,1864
1996,1856
1998,1857
2000,1902
2002,1908
2004,2023
2006,2127
2008,2120
2010,2164
2012,2169
2014,2172
2016,2231
2018,2243
2020,2205
2022,2318
2024,2352
2026,2387
2028,2421
2030,2456
