year,MISSISSIPPI BLACK/Predictions
1994,738
1996,660
1998,1277
2000,611
2002,648
2004,698
2006,718
2008,718
2010,721
2012,748
2014,769
2016,782
2018,798
2020,792
2022,753
2024,752
2026,751
2028,749
2030,748
