year,INDIANA WHITE/Predictions
1994,3828
1996,3884
1998,83
2000,4037
2002,4264
2004,4088
2006,4195
2008,4264
2010,4300
2012,4349
2014,4365
2016,4309
2018,4260
2020,4318
2022,4752
2024,4866
2026,4981
2028,5095
2030,5209
