year,MASSACHUSETTS TOTAL/Predictions
1994,4532
1996,4560
1998,4594
2000,4614
2002,4931
2004,4840
2006,4864
2008,4962
2010,5097
2012,5170
2014,5279
2016,5374
2018,5460
2020,5514
2022,5585
2024,5665
2026,5745
2028,5825
2030,5905
