year,MASSACHUSETTS BLACK/Predictions
1994,214
1996,228
1998,4282
2000,311
2002,316
2004,292
2006,292
2008,310
2010,319
2012,385
2014,408
2016,438
2018,454
2020,489
2022,172
2024,112
2026,51
2028,-8
2030,-68
