year,TENNESSEE HISPANIC ORIGIN/Predictions
1994,30
1996,33
1998,635
2000,67
2002,180
2004,128
2006,163
2008,178
2010,160
2012,241
2014,202
2016,221
2018,282
2020,329
2022,273
2024,283
2026,292
2028,301
2030,311
