year,ARIZONA TOTAL/Predictions
1994,2971
1996,3149
1998,3362
2000,3524
2002,3800
2004,4122
2006,4418
2008,4688
2010,4831
2012,4863
2014,4994
2016,5196
2018,5361
2020,5638
2022,5892
2024,6098
2026,6303
2028,6509
2030,6714
