year,UTAH TOTAL/Predictions
1994,1231
1996,1334
1998,1408
2000,1472
2002,1522
2004,1629
2006,1753
2008,1859
2010,1929
2012,1917
2014,2026
2016,2096
2018,2247
2020,2320
2022,2381
2024,2463
2026,2545
2028,2626
2030,2708
