year,NORTH DAKOTA MALE/Predictions
1994,217
1996,227
1998,226
2000,222
2002,231
2004,228
2006,238
2008,238
2010,243
2012,263
2014,290
2016,298
2018,286
2020,289
2022,297
2024,304
2026,310
2028,316
2030,323
