year,IOWA HISPANIC ORIGIN/Predictions
1994,17
1996,24
1998,21
2000,89
2002,81
2004,69
2006,70
2008,101
2010,96
2012,120
2014,81
2016,97
2018,206
2020,108
2022,152
2024,161
2026,170
2028,179
2030,188
