year,ALASKA BLACK/Predictions
1994,15
1996,11
1998,335
2000,13
2002,13
2004,13
2006,14
2008,17
2010,24
2012,21
2014,18
2016,17
2018,16
2020,17
2022,-5
2024,-11
2026,-16
2028,-22
2030,-28
