year,OHIO MALE/Predictions
1994,3819
1996,3858
1998,3887
2000,3916
2002,4047
2004,4037
2006,4072
2008,4068
2010,4135
2012,4175
2014,4197
2016,4219
2018,4294
2020,4311
2022,4355
2024,4392
2026,4430
2028,4468
2030,4505
