year,GEORGIA TOTAL/Predictions
1994,5105
1996,5303
1998,5581
2000,5775
2002,6080
2004,6338
2006,6630
2008,7018
2010,7119
2012,7179
2014,7306
2016,7626
2018,7850
2020,8032
2022,8343
2024,8570
2026,8797
2028,9025
2030,9252
