year,ARIZONA MALE/Predictions
1994,1443
1996,1474
1998,1581
2000,1734
2002,1937
2004,2008
2006,2161
2008,2326
2010,2391
2012,2361
2014,2423
2016,2525
2018,2606
2020,2739
2022,2881
2024,2982
2026,3083
2028,3184
2030,3286
