year,NORTH CAROLINA BLACK/Predictions
1994,1222
1996,1007
1998,4081
2000,1315
2002,1178
2004,1241
2006,1284
2008,1368
2010,1438
2012,1529
2014,1572
2016,1625
2018,1685
2020,1752
2022,1534
2024,1526
2026,1519
2028,1511
2030,1503
