year,TEXAS MALE/Predictions
1994,6411
1996,6543
1998,6691
2000,7079
2002,7212
2004,7667
2006,8038
2008,8434
2010,8742
2012,9046
2014,9412
2016,9775
2018,10274
2020,10513
2022,10767
2024,11099
2026,11431
2028,11764
2030,12096
