year,MAINE MALE/Predictions
1994,435
1996,457
1998,458
2000,465
2002,504
2004,493
2006,498
2008,492
2010,499
2012,509
2014,512
2016,510
2018,527
2020,523
2022,536
2024,542
2026,548
2028,554
2030,561
