year,KENTUCKY TOTAL/Predictions
1994,2807
1996,2906
1998,2956
2000,2996
2002,3012
2004,3042
2006,3142
2008,3179
2010,3250
2012,3291
2014,3323
2016,3348
2018,3370
2020,3384
2022,3480
2024,3525
2026,3570
2028,3615
2030,3660
