year,NEW HAMPSHIRE WHITE/Predictions
1994,817
1996,849
1998,15
2000,862
2002,947
2004,943
2006,964
2008,974
2010,976
2012,980
2014,996
2016,990
2018,1002
2020,1030
2022,1119
2024,1151
2026,1183
2028,1214
2030,1246
